id,source,cveId,sourceId,publishDate,description,CVSS2_score,CVSS2_severity,CVSS3_score,CVSS3_severity
519,OSSINDEX,,OWASP-CWE-770: Allocation of Resources Without Limits or Throttling-lodash:2.4.2,,"A utility library delivering consistency, customization, performance, & extras. : The software allocates a reusable resource or group of resources on behalf of an actor without imposing any restrictions on how many resources can be allocated, in violation of the intended security policy for that actor.",,,7.4,HIGH
514,NPM,,OWASP-1065-lodash:2.4.2,,"A utility library delivering consistency, customization, performance, & extras. : Versions of `lodash` before 4.17.12 are vulnerable to Prototype Pollution.  The function `defaultsDeep` allows a malicious user to modify the prototype of `Object` via `{constructor: {prototype: {...}}}` causing the addition or modification of an existing property that will exist on all objects.",,,,
516,NPM,,OWASP-577-lodash:2.4.2,,"A utility library delivering consistency, customization, performance, & extras. : Versions of `lodash` before 4.17.5 are vulnerable to prototype pollution.   The vulnerable functions are 'defaultsDeep', 'merge', and 'mergeWith' which allow a malicious user to modify the prototype of `Object` via `__proto__` causing the addition or modification of an existing property that will exist on all objects.",,,,
517,NPM,,OWASP-782-lodash:2.4.2,,"A utility library delivering consistency, customization, performance, & extras. : Versions of `lodash` before 4.17.5 are vulnerable to prototype pollution.   The vulnerable functions are 'defaultsDeep', 'merge', and 'mergeWith' which allow a malicious user to modify the prototype of `Object` via `{constructor: {prototype: {...}}}` causing the addition or modification of an existing property that will exist on all objects.",,,,
515,NPM,,OWASP-1523-lodash:2.4.2,,"A utility library delivering consistency, customization, performance, & extras. : Versions of `lodash` prior to 4.17.19 are vulnerable to Prototype Pollution.  The function `zipObjectDeep` allows a malicious user to modify the prototype of `Object` if the property identifiers are user-supplied. Being affected by this issue requires zipping objects based on user-provided property arrays.    This vulnerability causes the addition or modification of an existing property that will exist on all objects and may lead to Denial of Service or Code Execution under specific circumstances.",,,,
512,OSSINDEX,,OWASP-CWE-506: Embedded Malicious Code-lodash:1.0.2,,"A utility library delivering consistency, customization, performance, and extras. : The application contains code that appears to be malicious in nature.",,,9.6,CRITICAL
513,OSSINDEX,,OWASP-CWE-770: Allocation of Resources Without Limits or Throttling-lodash:1.0.2,,"A utility library delivering consistency, customization, performance, and extras. : The software allocates a reusable resource or group of resources on behalf of an actor without imposing any restrictions on how many resources can be allocated, in violation of the intended security policy for that actor.",,,7.4,HIGH
590,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-clean-css:3.4.28,,"A well-tested CSS minifier : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,3.7,LOW
589,NPM,,OWASP-785-clean-css:3.4.28,,A well-tested CSS minifier : Version of `clean-css` prior to 4.1.11 are vulnerable to Regular Expression Denial of Service (ReDoS). Untrusted input may cause catastrophic backtracking while matching regular expressions. This can cause the application to be unresponsive leading to Denial of Service.,,,,
737,OSSINDEX,,OWASP-CWE-62: UNIX Hard Link-fstream:1.0.11,,"Advanced file system stream things : The software, when opening a file or directory, does not sufficiently account for when the name is associated with a hard link to a target that is outside of the intended control sphere. This could allow an attacker to cause the software to operate on unauthorized files.",,,7.5,HIGH
736,NPM,,OWASP-886-fstream:1.0.11,,Advanced file system stream things : Versions of `fstream` prior to 1.0.12 are vulnerable to Arbitrary File Overwrite. Extracting tarballs containing a hardlink to a file that already exists in the system and a file that matches the hardlink will overwrite the system's file with the contents of the extracted file. The `fstream.DirWriter()` function is vulnerable.,,,,
1191,NPM,,OWASP-534-debug:2.2.0,,"Affected versions of `debug` are vulnerable to regular expression denial of service when untrusted user input is passed into the `o` formatter.   As it takes 50,000 characters to block the event loop for 2 seconds, this issue is a low severity issue.",,,,
1165,NPM,,OWASP-99-engine.io-client:1.5.4,,"Affected versions of `engine.io-client` do not verify certificates by default, and as such may be vulnerable to Man-in-the-Middle attacks.  The vulnerability is related to the way that node.js handles the `rejectUnauthorized` setting. If the value is something that evaluates to false, such as undefined or null, certificate verification will be disabled.",,,,
1192,NPM,,OWASP-146-growl:1.9.2,,"Affected versions of `growl` do not properly sanitize input prior to passing it into a shell command, allowing for arbitrary command execution.",,,,
1196,NPM,,OWASP-535-mime:1.3.6,,Affected versions of `mime` are vulnerable to regular expression denial of service when a mime lookup is performed on untrusted user input.,,,,
1197,NPM,,OWASP-118-minimatch:2.0.10,,"Affected versions of `minimatch` are vulnerable to regular expression denial of service attacks when user input is passed into the `pattern` argument of `minimatch(path, pattern)`.   ## Proof of Concept ``` var minimatch = require(“minimatch”);  // utility function for generating long strings var genstr = function (len, chr) {   var result = “”;   for (i=0; i<=len; i++) {     result = result + chr;   }   return result; }  var exploit = “[!” + genstr(1000000, “”) + “A”;  // minimatch exploit. console.log(“starting minimatch”); minimatch(“foo”, exploit); console.log(“finishing minimatch”); ```",,,,
1198,NPM,,OWASP-528-parsejson:0.0.3,,Affected versions of `parsejson` are vulnerable to a regular expression denial of service when parsing untrusted user input.,,,,
1166,NPM,,OWASP-528-parsejson:0.0.1,,Affected versions of `parsejson` are vulnerable to a regular expression denial of service when parsing untrusted user input.,,,,
1201,NPM,,OWASP-117-shell-quote:1.4.3,,"Affected versions of `shell-quote` do not properly escape command line arguments, which may result in command injection if the library is used to escape user input destined for use as command line arguments.    ## Proof of Concept:  The following characters are not escaped properly: `>`,`;`,`{`,`}`  Bash has a neat but not well known feature known as  Bash Brace Expansion , wherein a sub-command can be executed without spaces by running it between a set of `{}` and using the `,` instead of ` ` to seperate arguments. Because of this, full command injection is possible even though it was initially thought to be impossible.   ```    const quote = require('shell-quote').quote;    console.log(quote(['a;{echo,test,123,234}']));    // Actual                     a;{echo,test,123,234}     // Expected                   a;{echo,test,123,234}     // Functional Equivalent      a; echo 'test' '123' '1234'  ```",,,,
551,NPM,,OWASP-786-braces:2.3.2,,"Bash-like brace expansion, implemented in JavaScript. Safer than other brace expansion libs, with complete support for the Bash 4.3 braces specification, without sacrificing speed. : Versions of `braces` prior to 2.3.1 are vulnerable to Regular Expression Denial of Service (ReDoS). Untrusted input may cause catastrophic backtracking while matching regular expressions. This can cause the application to be unresponsive leading to Denial of Service.",,,,
716,NPM,,OWASP-338-brace-expansion:1.1.11,,"Brace expansion as known from sh/bash : Affected versions of `brace-expansion` are vulnerable to a regular expression denial of service condition.  ## Proof of Concept  ``` var expand = require('brace-expansion'); expand('{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n}'); ```",,,,
718,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-brace-expansion:1.1.3,,"Brace expansion as known from sh/bash : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,6.2,MEDIUM
717,OSSINDEX,,OWASP-CWE-185: Incorrect Regular Expression-brace-expansion:1.1.3,,Brace expansion as known from sh/bash : The software specifies a regular expression in a way that causes data to be improperly matched or compared.,,,7.5,HIGH
603,OSSINDEX,,OWASP-CWE-300: Channel Accessible by Non-Endpoint ('Man-in-the-Middle')-engine.io-client:1.5.4,,"Client for the realtime Engine : The product does not adequately verify the identity of actors at both ends of a communication channel, or does not adequately ensure the integrity of the channel, in a way that allows the channel to be accessed or influenced by an actor that is not an endpoint.",,,6.8,MEDIUM
792,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-set-value:2.0.0,,"Create nested values and any intermediaries using dot notation (`'a.b.c'`) paths. : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,7.5,HIGH
791,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-set-value:0.4.3,,"Create nested values and any intermediaries using dot notation (`'a.b.c'`) paths. : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,7.5,HIGH
790,NPM,,OWASP-1012-set-value:0.4.3,,"Create nested values and any intermediaries using dot notation (`'a.b.c'`) paths. : Versions of `set-value` prior to 3.0.1 or 2.0.1 are vulnerable to Prototype Pollution. The `set` function fails to validate which Object properties it updates. This allows attackers to modify the prototype of Object, causing the addition or modification of an existing property on all objects.",,,,
779,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-mixin-deep:1.3.1,,"Deeply mix the properties of objects into the first object. Like merge-deep, but doesn't clone. : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,7.5,HIGH
778,NPM,,OWASP-1013-mixin-deep:1.3.1,,"Deeply mix the properties of objects into the first object. Like merge-deep, but doesn't clone. : Versions of `mixin-deep` prior to 2.0.1 or 1.3.2 are vulnerable to Prototype Pollution. The `mixinDeep` function fails to validate which Object properties it updates. This allows attackers to modify the prototype of Object, causing the addition or modification of an existing property on all objects.",,,,
428,RETIREJS,,OWASP-Disallow calling helperMissing and blockHelperMissing directly-handlebars-1.3.1.jar: handlebars-1.0.0.js,,Disallow calling helperMissing and blockHelperMissing directly,,,,
1149,RETIREJS,,OWASP-Disallow calling helperMissing and blockHelperMissing directly-uicommons-omod-1.4.jar: handlebars.min.js,,Disallow calling helperMissing and blockHelperMissing directly,,,,
432,RETIREJS,,OWASP-Disallow calling helperMissing and blockHelperMissing directly-handlebars-1.3.1.jar: handlebars-v1.3.0.js,,Disallow calling helperMissing and blockHelperMissing directly,,,,
468,RETIREJS,,OWASP-Disallow calling helperMissing and blockHelperMissing directly-webservices.rest-omod-2.13.jar: handlebars-2.0.0.js,,Disallow calling helperMissing and blockHelperMissing directly,,,,
397,RETIREJS,,OWASP-Disallow calling helperMissing and blockHelperMissing directly-uicommons-omod-1.4.jar: handlebars.js,,Disallow calling helperMissing and blockHelperMissing directly,,,,
692,RETIREJS,,OWASP-Disallow calling helperMissing and blockHelperMissing directly-handlebars.js,,Disallow calling helperMissing and blockHelperMissing directly,,,,
1102,RETIREJS,,OWASP-Disallow calling helperMissing and blockHelperMissing directly-uicommons-omod-2.1.jar: handlebars.min.js,,Disallow calling helperMissing and blockHelperMissing directly,,,,
1099,RETIREJS,,OWASP-Disallow calling helperMissing and blockHelperMissing directly-uicommons-omod-2.1.jar: handlebars.js,,Disallow calling helperMissing and blockHelperMissing directly,,,,
695,RETIREJS,,OWASP-Disallow calling helperMissing and blockHelperMissing directly-handlebars.min.js,,Disallow calling helperMissing and blockHelperMissing directly,,,,
657,RETIREJS,,OWASP-Disallow calling helperMissing and blockHelperMissing directly-uicommons-omod-2.12.0.jar: handlebars.js,,Disallow calling helperMissing and blockHelperMissing directly,,,,
401,RETIREJS,,OWASP-Disallow calling helperMissing and blockHelperMissing directly-webservices.rest-omod-2.17.jar: handlebars-2.0.0.js,,Disallow calling helperMissing and blockHelperMissing directly,,,,
660,RETIREJS,,OWASP-Disallow calling helperMissing and blockHelperMissing directly-uicommons-omod-2.12.0.jar: handlebars.min.js,,Disallow calling helperMissing and blockHelperMissing directly,,,,
358,RETIREJS,,OWASP-Disallow calling helperMissing and blockHelperMissing directly-handlebars-1.1.2.jar: handlebars-1.0.0.js,,Disallow calling helperMissing and blockHelperMissing directly,,,,
1128,RETIREJS,,OWASP-Disallow calling helperMissing and blockHelperMissing directly-handlebars-2.0.0.js,,Disallow calling helperMissing and blockHelperMissing directly,,,,
458,RETIREJS,,OWASP-Disallow calling helperMissing and blockHelperMissing directly-uicommons-omod-2.4.0.jar: handlebars.min.js,,Disallow calling helperMissing and blockHelperMissing directly,,,,
455,RETIREJS,,OWASP-Disallow calling helperMissing and blockHelperMissing directly-uicommons-omod-2.4.0.jar: handlebars.js,,Disallow calling helperMissing and blockHelperMissing directly,,,,
687,RETIREJS,,OWASP-DOS in $sanitize-angular-sanitize.min.js,,DOS in $sanitize,,,,
642,RETIREJS,,OWASP-DOS in $sanitize-uicommons-omod-2.12.0.jar: angular-sanitize.min.js,,DOS in $sanitize,,,,
544,RETIREJS,,OWASP-DOS in $sanitize-app.js,,DOS in $sanitize,,,,
450,RETIREJS,,OWASP-DOS in $sanitize-uicommons-omod-2.4.0.jar: angular.min.js,,DOS in $sanitize,,,,
1079,RETIREJS,,OWASP-DOS in $sanitize-uicommons-omod-2.1.jar: angular-resource.min.js,,DOS in $sanitize,,,,
652,RETIREJS,,OWASP-DOS in $sanitize-uicommons-omod-2.12.0.jar: angular.min.js,,DOS in $sanitize,,,,
445,RETIREJS,,OWASP-DOS in $sanitize-uicommons-omod-2.4.0.jar: angular.js,,DOS in $sanitize,,,,
485,RETIREJS,,OWASP-DOS in $sanitize-angular.js,,DOS in $sanitize,,,,
1137,RETIREJS,,OWASP-DOS in $sanitize-angular-1.4.5.min.js,,DOS in $sanitize,,,,
480,RETIREJS,,OWASP-DOS in $sanitize-angular-route.min.js,,DOS in $sanitize,,,,
377,RETIREJS,,OWASP-DOS in $sanitize-uicommons-omod-1.4.jar: angular-resource.min.js,,DOS in $sanitize,,,,
440,RETIREJS,,OWASP-DOS in $sanitize-uicommons-omod-2.4.0.jar: angular-sanitize.min.js,,DOS in $sanitize,,,,
387,RETIREJS,,OWASP-DOS in $sanitize-uicommons-omod-1.4.jar: angular.js,,DOS in $sanitize,,,,
528,RETIREJS,,OWASP-DOS in $sanitize-openmrs-contrib-uicommons.bundle.min.js,,DOS in $sanitize,,,,
1094,RETIREJS,,OWASP-DOS in $sanitize-uicommons-omod-2.1.jar: angular.min.js,,DOS in $sanitize,,,,
392,RETIREJS,,OWASP-DOS in $sanitize-uicommons-omod-1.4.jar: angular.min.js,,DOS in $sanitize,,,,
647,RETIREJS,,OWASP-DOS in $sanitize-uicommons-omod-2.12.0.jar: angular.js,,DOS in $sanitize,,,,
475,RETIREJS,,OWASP-DOS in $sanitize-angular-resource.min.js,,DOS in $sanitize,,,,
1084,RETIREJS,,OWASP-DOS in $sanitize-uicommons-omod-2.1.jar: angular-sanitize.min.js,,DOS in $sanitize,,,,
1089,RETIREJS,,OWASP-DOS in $sanitize-uicommons-omod-2.1.jar: angular.js,,DOS in $sanitize,,,,
637,RETIREJS,,OWASP-DOS in $sanitize-uicommons-omod-2.12.0.jar: angular-resource.min.js,,DOS in $sanitize,,,,
382,RETIREJS,,OWASP-DOS in $sanitize-uicommons-omod-1.4.jar: angular-sanitize.min.js,,DOS in $sanitize,,,,
681,RETIREJS,,OWASP-DOS in $sanitize-metadatamapping-owa-1.3.4.jar: vendor.bundle.js,,DOS in $sanitize,,,,
435,RETIREJS,,OWASP-DOS in $sanitize-uicommons-omod-2.4.0.jar: angular-resource.min.js,,DOS in $sanitize,,,,
490,RETIREJS,,OWASP-DOS in $sanitize-angular.min.js,,DOS in $sanitize,,,,
584,RETIREJS,,OWASP-DOS in $sanitize-app.min.js,,DOS in $sanitize,,,,
734,NPM,,OWASP-1547-elliptic:6.4.1,,"EC cryptography : The Elliptic package before version 6.5.3 for Node.js allows ECDSA signature malleability via variations in encoding, leading '0' bytes, or integer overflows. This could conceivably have a security-relevant impact if an application relied on a single canonical signature.",,,,
735,OSSINDEX,,OWASP-CWE-190: Integer Overflow or Wraparound-elliptic:6.4.1,,"EC cryptography : The software performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control.",,,5.6,MEDIUM
711,NPM,,OWASP-1488-acorn:5.7.3,,"ECMAScript parser : Affected versions of `acorn` are vulnerable to Regular Expression Denial of Service. A regex in the form of `/[x-ud800]/u` causes the parser to enter an infinite loop. The string is not valid UTF16 which usually results in it being sanitized before reaching the parser. If an application processes untrusted input and passes it directly to `acorn`, attackers may leverage the vulnerability leading to Denial of Service.",,,,
708,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-acorn:2.7.0,,"ECMAScript parser : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,7.5,HIGH
709,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-acorn:3.0.4,,"ECMAScript parser : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,7.5,HIGH
710,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-acorn:4.0.13,,"ECMAScript parser : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,7.5,HIGH
712,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-acorn:5.7.3,,"ECMAScript parser : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,7.5,HIGH
543,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-acorn:3.3.0,,"ECMAScript parser : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,7.5,HIGH
578,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-acorn:2.6.4,,"ECMAScript parser : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,7.5,HIGH
733,OSSINDEX,,OWASP-CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')-decompress:3.0.0,,"Extracting archives made easy : The software uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the software does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.",,,7.5,HIGH
732,NPM,,OWASP-1217-decompress:3.0.0,,"Extracting archives made easy : Versions of `decompress` prior to 4.2.1 are vulnerable to Arbitrary File Write. The package fails to prevent extraction of files with relative paths, allowing attackers to write to any folder in the system by including filenames containing`../`.",,,,
502,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-braces:1.8.5,,"Fastest brace expansion for node.js, with the most complete support for the Bash 4.3 braces specification. : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,7.5,HIGH
501,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-braces:0.1.5,,"Fastest brace expansion lib. Typically used with file paths, but can be used with any string. Expands comma-separated values (e.g. `foo/{a,b,c}/bar`) and alphabetical or numerical ranges (e.g. `{1..9}`) : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,7.5,HIGH
500,NPM,,OWASP-786-braces:0.1.5,,"Fastest brace expansion lib. Typically used with file paths, but can be used with any string. Expands comma-separated values (e.g. `foo/{a,b,c}/bar`) and alphabetical or numerical ranges (e.g. `{1..9}`) : Versions of `braces` prior to 2.3.1 are vulnerable to Regular Expression Denial of Service (ReDoS). Untrusted input may cause catastrophic backtracking while matching regular expressions. This can cause the application to be unresponsive leading to Denial of Service.",,,,
686,OSSINDEX,,OWASP-CWE-611: Improper Restriction of XML External Entity Reference ('XXE')-webservices.rest-omod-2.13.jar: jackson-databind-2.5.4.jar,,"General data-binding functionality for Jackson: works on core streaming API : The software processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control, causing the product to embed incorrect documents into its output.",,,5.4,MEDIUM
801,OSSINDEX,,OWASP-CWE-611: Improper Restriction of XML External Entity Reference ('XXE')-webservices.rest-omod-2.17.jar: jackson-databind-2.5.4.jar,,"General data-binding functionality for Jackson: works on core streaming API : The software processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control, causing the product to embed incorrect documents into its output.",,,5.4,MEDIUM
362,OSSINDEX,,OWASP-CWE-611: Improper Restriction of XML External Entity Reference ('XXE')-jackson-databind-2.5.4.jar,,"General data-binding functionality for Jackson: works on core streaming API : The software processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control, causing the product to embed incorrect documents into its output.",,,5.4,MEDIUM
1116,OSSINDEX,,OWASP-CWE-611: Improper Restriction of XML External Entity Reference ('XXE')-jackson-databind-2.2.3.jar,,"General data-binding functionality for Jackson: works on core streaming API : The software processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control, causing the product to embed incorrect documents into its output.",,,5.4,MEDIUM
729,OSSINDEX,,OWASP-CWE-330: Use of Insufficiently Random Values-cryptiles:0.2.2,,General purpose crypto utilities : The software may use insufficiently random numbers or values in a security context that depends on unpredictable numbers.,,,5.9,MEDIUM
730,OSSINDEX,,OWASP-CWE-331: Insufficient Entropy-cryptiles:0.2.2,,"General purpose crypto utilities : The software uses an algorithm or scheme that produces insufficient entropy, leaving patterns or clusters of values that are more likely to occur than others.",,,9.8,CRITICAL
727,NPM,,OWASP-1464-cryptiles:0.2.2,,General purpose crypto utilities : Versions of `cryptiles` prior to 4.1.2 are vulnerable to Insufficient Entropy. The `randomDigits()` method does not provide sufficient entropy and its generates digits that are not evenly distributed.,,,,
